Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C28H16,"Fluoreno[9,1-ab]triphenylene",BLSBVOQCBIDFSH-UHFFFAOYSA-N,,,,1.276331955,6.766967535
C28H16,"Naphtho[2,1,8-uva]pentaphene",DQYABORHGPGIET-UHFFFAOYSA-N,,,,1.138753139,6.432462712
C28H16,"Naphtho[8,1,2-cde]pentaphene",ISZKDMVDQOVYMB-UHFFFAOYSA-N,,,,1.153283813,6.360435195
C28H16,"Tribenzo[a,hi,mn]naphthacene",TUVUHEIUAFAEPM-UHFFFAOYSA-N,,,,-,6.677144024
C28H16,"Naphtho[2,1,8-fgh]pentaphene",GWQNZHNLKCYFOP-UHFFFAOYSA-N,,,C1=CC=C2C=C3C(=CC2=C1)C4=CC=CC5=C4C6=C(C=C5)C7=CC=CC=C7C=C36,-,-
C28H16,"Tribenzo[c,g,mno]chrysene",FQQMOYDETRPXHH-UHFFFAOYSA-N,,,,0.997718526,6.534694439
C28H16,"Anthra[2,1,9-qra]naphthacene",KACIMOBULRHMAM-UHFFFAOYSA-N,,,,1.486509719,6.070692467
C28H16,"Dibenzo[pq,uv]pentaphene",GBMHAGKZRAVBDO-UHFFFAOYSA-N,,,,1.748470016,5.72410596
C28H16,"Dibenzo[a,rst]pentaphene",MTQHODFIXKKMHN-UHFFFAOYSA-N,,,,1.127868739,6.389333277
C28H16,"Naphtho[2,1,8-def]picene",NMORLAMPHCGCIQ-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C5=CC=CC6=C5C7=C(C=CC=C47)C=C6,0.841554597,6.616245806
C28H16,"Dibenzo[c,rst]pentaphene",WDKJMEWQXFIYHH-UHFFFAOYSA-N,,,,1.135841562,6.347020172
C28H16,"Dibenzo[de,ij]pentaphene",BDUJSMOFXKVDAV-UHFFFAOYSA-N,,,,1.563516849,5.965576374
C28H16,"Dibenzo[de,uv]pentaphene",UFNSSSMNJMAOAN-UHFFFAOYSA-N,,,C1=CC=C2C=C3C(=CC2=C1)C=CC4=C3C5=CC=CC6=C5C7=C(C=CC=C47)C=C6,1.131759912,6.363591671
C28H16,"Anthra[1,2-a]aceanthrylene",ADMFOGGQLGWTGD-UHFFFAOYSA-N,,,C1=CC=C2C=C3C(=CC2=C1)C=CC4=C3C5=C6C4=CC=CC6=CC7=CC=CC=C75,1.603843551,6.269768143
